-0.0823748,-0.291742,0.952943,0,0.476358,0.828365,0.29478,0,-0.875384,0.478225,0.0707372,0,0.279406,0.427065,-0.761764,1|-0.0823748,0.291742,-0.952943,0,-0.476358,0.828365,0.29478,0,0.875384,0.478225,0.0707372,0,-0.279406,0.427065,-0.761764,1||
-0.13045,-0.374571,0.917975,0,0.465495,0.794354,0.390278,0,-0.875384,0.478225,0.0707372,0,0.267387,0.406357,-0.770506,1|-0.033443,0.20588,-0.978006,0,-0.48227,0.853765,0.196217,0,0.875384,0.478225,0.0707372,0,-0.291639,0.44853,-0.755499,1||
-0.13045,-0.374571,0.917975,0,0.465495,0.794354,0.390278,0,-0.875384,0.478225,0.0707372,0,0.267387,0.406357,-0.770506,1|-0.033443,0.20588,-0.978006,0,-0.48227,0.853765,0.196217,0,0.875384,0.478225,0.0707372,0,-0.291639,0.44853,-0.755499,1||
-0.0208943,-0.183615,0.982776,0,0.482976,0.858829,0.170726,0,-0.875384,0.478225,0.0707372,0,0.294776,0.454096,-0.754306,1|-0.142508,0.395095,-0.907519,0,-0.461946,0.784347,0.414011,0,0.875384,0.478225,0.0707372,0,-0.264373,0.401226,-0.77312,1||
-0.150799,-0.409149,0.899921,0,0.459306,0.777109,0.430278,0,-0.875384,0.478225,0.0707372,0,0.2623,0.397713,-0.77502,1|-0.0121979,0.168128,-0.98569,0,-0.483274,0.861994,0.15301,0,0.875384,0.478225,0.0707372,0,-0.296951,0.457968,-0.753578,1||
-0.037059,-0.212277,0.976507,0,0.482005,0.852197,0.203547,0,-0.875384,0.478225,0.0707372,0,0.290735,0.446931,-0.755873,1|-0.126956,0.368603,-0.920877,0,-0.46646,0.79714,0.383383,0,0.875384,0.478225,0.0707372,0,-0.268261,0.407849,-0.769781,1||
-0.140196,-0.391169,0.909578,0,0.462653,0.786313,0.409468,0,-0.875384,0.478225,0.0707372,0,0.264951,0.402208,-0.772606,1|-0.0233088,0.187907,-0.98191,0,-0.482866,0.8579,0.175638,0,0.875384,0.478225,0.0707372,0,-0.294173,0.453023,-0.754522,1||
0.0192184,-0.111783,0.993547,0,0.483046,0.871095,0.0886621,0,-0.875384,0.478225,0.0707372,0,0.304805,0.472054,-0.751613,1|-0.180314,0.458761,-0.870072,0,-0.448541,0.748892,0.487823,0,0.875384,0.478225,0.0707372,0,-0.254921,0.38531,-0.782482,1||
-0.144816,-0.399012,0.905438,0,0.461228,0.782362,0.418543,0,-0.875384,0.478225,0.0707372,0,0.263796,0.400247,-0.773641,1|-0.0184792,0.179319,-0.983617,0,-0.483075,0.859736,0.16581,0,0.875384,0.478225,0.0707372,0,-0.29538,0.45517,-0.754096,1||
-0.0975733,-0.318095,0.943024,0,0.473479,0.818606,0.325118,0,-0.875384,0.478225,0.0707372,0,0.275607,0.420476,-0.764244,1|-0.067092,0.26509,-0.961887,0,-0.47875,0.837275,0.26414,0,0.875384,0.478225,0.0707372,0,-0.283227,0.433728,-0.759528,1||
-0.123921,-0.363414,0.923349,0,0.467275,0.799519,0.377389,0,-0.875384,0.478225,0.0707372,0,0.26902,0.409146,-0.769163,1|-0.0401912,0.217812,-0.975163,0,-0.481754,0.850799,0.20989,0,0.875384,0.478225,0.0707372,0,-0.289952,0.445547,-0.756209,1||
-0.0651765,-0.261739,0.962936,0,0.479014,0.838328,0.260291,0,-0.875384,0.478225,0.0707372,0,0.283706,0.434565,-0.759266,1|-0.0994664,0.321367,-0.941716,0,-0.473084,0.817327,0.328887,0,0.875384,0.478225,0.0707372,0,-0.275133,0.419658,-0.764571,1||
-0.096863,-0.316867,0.943511,0,0.473624,0.819083,0.323703,0,-0.875384,0.478225,0.0707372,0,0.275784,0.420783,-0.764122,1|-0.06781,0.266345,-0.961489,0,-0.478648,0.836876,0.265583,0,0.875384,0.478225,0.0707372,0,-0.283047,0.433414,-0.759628,1||
-0.0615821,-0.255444,0.964861,0,0.479489,0.840268,0.253062,0,-0.875384,0.478225,0.0707372,0,0.284604,0.436139,-0.758785,1|-0.103012,0.327488,-0.939223,0,-0.472325,0.814894,0.335941,0,0.875384,0.478225,0.0707372,0,-0.274247,0.418128,-0.765194,1||
-0.0970998,-0.317277,0.943349,0,0.473576,0.818924,0.324174,0,-0.875384,0.478225,0.0707372,0,0.275725,0.420681,-0.764163,1|-0.0675707,0.265927,-0.961622,0,-0.478682,0.837009,0.265102,0,0.875384,0.478225,0.0707372,0,-0.283107,0.433518,-0.759595,1||
-0.0759368,-0.280533,0.956836,0,0.477427,0.832227,0.281889,0,-0.875384,0.478225,0.0707372,0,0.281016,0.429867,-0.760791,1|-0.0887979,0.302898,-0.948877,0,-0.475203,0.824351,0.307617,0,0.875384,0.478225,0.0707372,0,-0.277801,0.424276,-0.762781,1||
-0.106787,-0.333997,0.936506,0,0.471486,0.812248,0.343443,0,-0.875384,0.478225,0.0707372,0,0.273303,0.416501,-0.765874,1|-0.0577443,0.248714,-0.966854,0,-0.479967,0.842284,0.245335,0,0.875384,0.478225,0.0707372,0,-0.285564,0.437822,-0.758286,1||
